id;car_brand;model;car_body_type;year;transmission_box_types;engine_capacity;full_description;short_description;image_file_id
1;TOYOTA;"PqHbF";STATION_WAGON;2019;ROBOTIC;6;;;Liaison Bike
2;GEELY;"julICll";SPORTS_CAR;1999;ROBOTIC;2;;;Nebraska calculate
3;VOLKSWAGEN;"b45";PICKUP;1946;AUTOMATIC;4;;;empowering Ghana parsing
4;DODGE;"wX";COUPE;1930;AUTOMATIC;12;;;Cambodia Mexico Northern
5;LINCOLN;"iGt";COUPE;2017;MECHANICAL;1;;;PCI motivating Avon
6;VOLKSWAGEN;"nqbWCsJ";PICKUP;2001;VARIATIONAL;1;;;Investor Paradigm
7;SUZUKI;"rgCnIXwRp";CONVERTIBLE;1991;VARIATIONAL;5;;;LoanXXXXXX
8;LANCIA;"dz";SUV;1949;VARIATIONAL;5;;;SCSI Visionary Forward
9;DAEWOO;"gN";CONVERTIBLE;1968;AUTOMATIC;1;;;partnerships Assistant Direct
10;ACURA;"vHWu2V";PICKUP;1978;ROBOTIC;7;;;UnbrandedX
